"Part";"Value";"Device";"Package";"Description";"";
"R7";"2.2k";"RESISTOR.0603";"0603";"";"";
"R8";"10k";"RESISTOR.0603";"0603";"";"";
"R17";"10k";"RESISTOR.0603";"0603";"";"";
"R18";"3.24k";"RESISTOR.0603";"0603";"";"";
"RA1";"1k";"RA-4.0603";"0603.4.C";"Dimentions sources from here: http://www.ctscorp.com/components/Datasheets/CTSChipArrayDs.pdf";"";
"RA2";"1k";"RA-4.0603";"0603.4.C";"Dimentions sources from here: http://www.ctscorp.com/components/Datasheets/CTSChipArrayDs.pdf";"";
"U$3";"HOLE.4MM";"HOLE.4MM";"4MM";"";"";
"U$4";"HOLE.4MM";"HOLE.4MM";"4MM";"";"";
"U$8";"STELLARIS-LAUNCHPADSTELLARIS-LAUNCHPAD-XL";"STELLARIS-LAUNCHPADSTELLARIS-LAUNCHPAD-XL";"LAUNCHPAD-XL";"";"";
"U$14";"HOLE.4MM";"HOLE.4MM";"4MM";"";"";
"U$15";"1X2";"1X2";"1X2";"";"";
"U1";"TS3A44159.RGT";"TS3A44159.RGT";"RGT.16";"";"";
"U3";"DRV8800";"DRV8800.RTY";"RTY.16";"";"";
"U4";"DRV8800";"DRV8800.RTY";"RTY.16";"";"";
"U5";"DRV8800";"DRV8800.RTY";"RTY.16";"";"";
"U6";"DRV8800";"DRV8800.RTY";"RTY.16";"";"";
"U7";"PCA9557.RGV";"PCA9557.RGV";"RGV.16";"";"";
"U8";"MPU-6050";"MPU-6050";"QFN.24.4X4";"";"";
"U9";"INA220.DGS";"INA220.DGS";"DGS.10";"";"";
"U10";"74LVTH125.RGY";"74XX125.RGY";"RGY.14";"";"";
"U11";"SCHA4B0400";"SCHA4B0400";"SCHA4B0400";"";"";
"U12";"BLUETOOTH-RN41"";"BLUETOOTH-RN41"";"RN41";"Bluetooth SMD module";"";
"U13";"XBEE-1XBEE-1_LOCK";"XBEE-1XBEE-1_LOCK";"XBEE-1_LOCK";"Xbee module footprints";"";
"U14";"TPS5450";"TPS54X0";"DDA";"";"";
"U15";"TPS715XX.DCK";"TPS715XX.DCK";"DCK";"";"";
"U16";"TPS62152.RGT";"TPS6215X.RGT";"RGT.16";"";"";
